/var/spool/slurmd/job54800/slurm_script: línea 11: /fhome/pmlai01/miniconda3/etc/profile.d/cuonda.sh: No existe el archivo o el directorio

CondaError: Run 'conda init' before 'conda activate'

2024-12-12 10:04:40.719540: I tensorflow/tsl/cuda/cudart_stub.cc:28] Could not find cuda drivers on your machine, GPU will not be used.
2024-12-12 10:04:40.781920: I tensorflow/core/platform/cpu_feature_guard.cc:182] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
2024-12-12 10:04:41.849325: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Could not find TensorRT
A.L.E: Arcade Learning Environment (version 0.10.1+unknown)
[Powered by Stella]
cuda
Using cuda device
Wrapping the env in a VecTransposeImage.
---------------------------------
| rollout/           |          |
|    learning_rate        | 4.65e-05    |
|    loss                 | 0.461       |
|    n_updates            | 430         |
|    policy_gradient_loss | -0.0154     |
|    value_loss           | 1.19        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.33e+03    |
|    ep_rew_mean          | 1.2e+03     |
| time/                   |             |
|    fps                  | 206         |
|    iterations           | 45          |
|    time_elapsed         | 1781        |
|    total_timesteps      | 368640      |
| train/                  |             |
|    approx_kl            | 0.016153352 |
|    clip_fraction        | 0.148       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.948      |
|    explained_variance   | 0.655       |
|    learning_rate        | 4.64e-05    |
|    loss                 | 0.278       |
|    n_updates            | 440         |
|    policy_gradient_loss | -0.0162     |
|    value_loss           | 1.09        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 2.36e+03     |
|    ep_rew_mean          | 1.22e+03     |
| time/                   |              |
|    fps                  | 206          |
|    iterations           | 46           |
|    time_elapsed         | 1820         |
|    total_timesteps      | 376832       |
| train/                  |              |
|    approx_kl            | 0.0147839375 |
|    clip_fraction        | 0.155        |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.946       |
|    explained_variance   | 0.607        |
|    learning_rate        | 4.63e-05     |
|    loss                 | 0.315        |
|    n_updates            | 450          |
|    policy_gradient_loss | -0.0165      |
|    value_loss           | 1.1          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.5e+03     |
|    ep_rew_mean          | 1.29e+03    |
| time/                   |             |
|    fps                  | 206         |
|    iterations           | 47          |
|    time_elapsed         | 1860        |
|    total_timesteps      | 385024      |
| train/                  |             |
|    approx_kl            | 0.013415349 |
|    clip_fraction        | 0.138       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.908      |
|    explained_variance   | 0.629       |
|    learning_rate        | 4.62e-05    |
|    loss                 | 0.603       |
|    n_updates            | 460         |
|    policy_gradient_loss | -0.0164     |
|    value_loss           | 1.27        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.49e+03    |
|    ep_rew_mean          | 1.29e+03    |
| time/                   |             |
|    fps                  | 207         |
|    iterations           | 48          |
|    time_elapsed         | 1899        |
|    total_timesteps      | 393216      |
| train/                  |             |
|    approx_kl            | 0.012739781 |
|    clip_fraction        | 0.147       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.92       |
|    explained_variance   | 0.609       |
|    learning_rate        | 4.61e-05    |
|    loss                 | 0.692       |
|    n_updates            | 470         |
|    policy_gradient_loss | -0.016      |
|    value_loss           | 1.24        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.46e+03    |
|    ep_rew_mean          | 1.29e+03    |
| time/                   |             |
|    fps                  | 207         |
|    iterations           | 49          |
|    time_elapsed         | 1938        |
|    total_timesteps      | 401408      |
| train/                  |             |
|    approx_kl            | 0.013761808 |
|    clip_fraction        | 0.151       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.91       |
|    explained_variance   | 0.657       |
|    learning_rate        | 4.61e-05    |
|    loss                 | 0.317       |
|    n_updates            | 480         |
|    policy_gradient_loss | -0.0166     |
|    value_loss           | 1.05        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 2.53e+03   |
|    ep_rew_mean          | 1.34e+03   |
| time/                   |            |
|    fps                  | 207        |
|    iterations           | 50         |
|    time_elapsed         | 1977       |
|    total_timesteps      | 409600     |
| train/                  |            |
|    approx_kl            | 0.01448486 |
|    clip_fraction        | 0.139      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.891     |
|    explained_variance   | 0.675      |
|    learning_rate        | 4.6e-05    |
|    loss                 | 0.308      |
|    n_updates            | 490        |
|    policy_gradient_loss | -0.016     |
|    value_loss           | 1.15       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.58e+03    |
|    ep_rew_mean          | 1.37e+03    |
| time/                   |             |
|    fps                  | 207         |
|    iterations           | 51          |
|    time_elapsed         | 2017        |
|    total_timesteps      | 417792      |
| train/                  |             |
|    approx_kl            | 0.013606631 |
|    clip_fraction        | 0.132       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.877      |
|    explained_variance   | 0.626       |
|    learning_rate        | 4.59e-05    |
|    loss                 | 0.491       |
|    n_updates            | 500         |
|    policy_gradient_loss | -0.013      |
|    value_loss           | 1.46        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.59e+03    |
|    ep_rew_mean          | 1.38e+03    |
| time/                   |             |
|    fps                  | 207         |
|    iterations           | 52          |
|    time_elapsed         | 2057        |
|    total_timesteps      | 425984      |
| train/                  |             |
|    approx_kl            | 0.015641814 |
|    clip_fraction        | 0.153       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.859      |
|    explained_variance   | 0.589       |
|    learning_rate        | 4.58e-05    |
|    loss                 | 0.499       |
|    n_updates            | 510         |
